"","State","County","Presence.of.Water.Violation","standardized_deaths","Percentage_Adults_with_Obesity","Percentage_Physically_Inactive","Percentage__With.Access.to.Exercise.Opportunities","Percentage_Excessive.Drinking","Percentage_Driving.Deaths.with.Alcohol.Involvement","Percentage_Uninsured","Primary.Care.Physicians.Ratio","Dentist.Ratio","Mental.Health.Provider.Ratio","Preventable.Hospitalization.Rate","Percentage_Vaccinated","High.School.Graduation.Rate","Social.Association.Rate","Violent.Crime.Rate","Injury.Death.Rate","Average.Daily.PM2.5","Percentage_.Drive.Alone.to.Work","Percentage_Long.Commute...Drives.Alone","Infant.Mortality.Rate","Percentage_Adults.with.Diabetes","HIV.Prevalence.Rate","Drug.Overdose.Mortality.Rate","Percentage_Insufficient.Sleep","Other.Primary.Care.Provider.Rate","Percentage_Disconnected.Youth","Average.Grade.Performance","Percentage_.Enrolled.in.Free.or.Reduced.Lunch","Suicide.Rate..Age.Adjusted.","Percentage_.Not.Proficient.in.English","Percentage_Female"
"21","Michigan","Dickinson","No",10.228,24.4,21,89,19.12137507,25,5.998481397,1105,1015,321,2781,41,89.13857678,17.70607909,346.841379310345,83.54284108,7,84,12.9,7.1221216307125,11.7,217.902222222222,32.75123472,34.21861842,193,11.0378275771963,2.89247152815038,46.10024122,13.82689679,0.197441487,49.87590119
"22","Michigan","Eaton","Yes",4.3662,37,23,72,20.23565281,28.76712329,5.523641184,3029,1464,590,4375,47,87.18487395,11.64849074,244,77.55875121,10.9,84,27.3,5.419029616,9.8,91.7,20.73088567,35.94624048,47,6.188340807,3.034149947,46.41979542,18.39571515,1.140835514,50.85772039
"23","Michigan","Emmet","No",3.14657142857143,27.3,19,88,19.92217793,50,7.700970874,754,925,327,3484,49,93.82022472,18.07610038,173,68.05261129,7.1,79,21.2,7.1221216307125,8.5,49.2,10.03180081,33.79067929,192,7.706535142,3.11363699,38.94282632,20.8692879,0.222617988,50.72054762
"24","Michigan","Genesee","Yes",52.159763367463,34.9,26,86,17.72820152,25.38071066,6.729385323,1157,1384,348,6404,48,83.14249364,9.35233256,653,88.19350388,10.2,84,30.8,8.152820757,13.5,149.7,41.94973882,40.67661509,84,7.507874571,2.769283038,58.53369877,13.68500519,0.418729577,51.77049438
"25","Michigan","Gladwin","No",1.48758823529412,42.5,26,65,17.02747042,35.29411765,8.019845164,6309,5067,905,4647,43,89.23076923,6.340651502,220,90.28415751,8.4,81,44.6,7.1221216307125,19.4,41.1,14.53238741,33.28272501,31,18.65284974,2.863123971,58.41328413,20.29802495,0.403746098,49.42574101
"26","Michigan","Gogebic","No",3.8535,31.2,24,90,17.94789678,33.33333333,7.762244599,1096,2157,559,3383,38,88.49557522,13.03611003,100,74.17142708,6.4,80,14.5,7.1221216307125,14.1,51.4,22.0328776529143,35.61345302,105,11.0378275771963,2.89247152815038,59.58862674,13.02935222,0.202020202,46.17117117
"27","Michigan","Grand Traverse","Yes",22.9365,30.9,18,91,20.37492409,23.40425532,6.3453739,759,1040,232,3869,55,86.16647128,11.54596055,224,68.86301925,7.7,80,20,5.032789385,6.5,100.4,17.36211586,31.77989093,244,4.474002418,3.12958827,39.0982606,16.4361756,0.485856062,51.06996641
"28","Michigan","Gratiot","No",3.97422580645161,37.8,20,55,19.48209825,18.18181818,5.672805021,2051,2256,606,3876,41,87.79956427,11.21458872,203,55.33335922,9.7,81,31.4,7.1221216307125,11.1,96.7,9.770475252,38.37604147,123,7.201646091,2.954380786,56.14208189,11.39276503,0.368843011,46.2942437
"29","Michigan","Hillsdale","No",6.33177631578947,38.6,24,61,19.13053444,28.57142857,7.091841022,3823,3050,683,5459,42,85.36082474,10.89823231,184,71.56165866,11.3,81,35.7,6.002728513,12.2,38.7,19.65036899,33.21970658,52,6.679104478,2.841757274,58.46689896,18.04847744,0.512428121,50.24372117
"30","Michigan","Houghton","No",0,31.3,21,79,21.88284937,30,6.670309654,1578,1509,549,3558,30,76.94174757,12.11954276,156,65.40114534,6.1,71,11.1,7.1221216307125,8.3,41.8,11.91796771,37.22156436,93,4.889589905,2.89247152815038,46.36329728,15.82537787,0.742588618,45.9178884
